num_traces,guessing_entropy,success_rate
1,128.52,0.01
2,134.67,0.0
3,140.89,0.0
4,141.79,0.0
5,143.63,0.0
6,142.0,0.01
7,149.16,0.01
8,148.51,0.01
9,149.25,0.0
10,146.67,0.0
11,149.49,0.0
12,145.58,0.0
13,145.15,0.0
14,143.61,0.0
15,138.88,0.0
16,138.37,0.0
17,136.15,0.0
18,136.12,0.0
19,136.7,0.01
20,137.42,0.01
21,138.25,0.01
22,139.18,0.0
23,138.97,0.0
24,139.61,0.0
25,137.52,0.0
26,138.54,0.0
27,142.03,0.0
28,140.38,0.0
29,141.04,0.0
30,141.55,0.0
31,143.58,0.0
32,142.19,0.0
33,140.23,0.0
34,141.88,0.0
35,140.76,0.0
36,141.13,0.0
37,142.38,0.0
38,140.71,0.0
39,137.34,0.0
40,137.7,0.0
41,138.11,0.0
42,138.61,0.0
43,138.92,0.0
44,137.3,0.0
45,136.89,0.01
46,136.66,0.01
47,137.55,0.01
48,139.52,0.0
49,140.83,0.0
50,139.99,0.0
51,139.87,0.0
52,137.77,0.0
53,137.23,0.0
54,136.56,0.0
55,136.94,0.01
56,137.18,0.01
57,138.73,0.01
58,137.57,0.01
59,136.93,0.01
60,135.94,0.01
61,136.77,0.01
62,135.74,0.01
63,135.48,0.01
64,136.1,0.01
65,135.32,0.01
66,136.34,0.01
67,135.51,0.01
68,134.07,0.01
69,133.97,0.01
70,133.45,0.01
71,133.42,0.01
72,132.36,0.01
73,132.98,0.01
74,134.69,0.01
75,134.88,0.01
76,133.83,0.0
77,133.47,0.01
78,133.81,0.01
79,134.16,0.01
80,134.85,0.0
81,134.98,0.01
82,134.44,0.01
83,134.44,0.01
84,135.25,0.01
85,135.21,0.01
86,135.66,0.01
87,135.29,0.01
88,136.28,0.01
89,134.59,0.01
90,134.63,0.01
91,136.69,0.01
92,137.32,0.01
93,135.95,0.01
94,135.77,0.01
95,135.59,0.01
96,137.34,0.01
97,136.36,0.01
98,136.51,0.01
99,136.41,0.01
100,136.19,0.01
101,135.64,0.01
102,135.13,0.01
103,135.66,0.01
104,135.54,0.01
105,135.57,0.01
106,137.04,0.01
107,136.45,0.01
108,135.85,0.0
109,136.1,0.01
110,135.28,0.01
111,135.87,0.01
112,135.62,0.0
113,134.65,0.0
114,134.38,0.01
115,134.12,0.01
116,134.02,0.01
117,135.15,0.01
118,136.52,0.01
119,136.47,0.01
120,135.3,0.01
121,134.89,0.0
122,134.61,0.01
123,133.63,0.0
124,134.42,0.0
125,133.36,0.0
126,132.4,0.0
127,130.9,0.0
128,132.29,0.0
129,131.12,0.0
130,131.82,0.0
131,131.79,0.0
132,132.19,0.0
133,132.17,0.0
134,132.17,0.0
135,132.2,0.0
136,133.28,0.0
137,133.46,0.0
138,132.58,0.0
139,131.91,0.0
140,131.68,0.0
141,132.14,0.0
142,132.85,0.0
143,132.56,0.0
144,132.23,0.0
145,133.2,0.0
146,133.75,0.0
147,134.22,0.0
148,133.84,0.0
149,133.62,0.0
150,134.04,0.0
151,134.17,0.0
152,133.44,0.0
153,132.52,0.0
154,133.41,0.0
155,133.6,0.0
156,133.95,0.0
157,133.9,0.0
158,132.37,0.0
159,132.32,0.0
160,132.35,0.0
161,132.04,0.0
162,133.14,0.0
163,132.97,0.0
164,133.36,0.0
165,134.39,0.0
166,134.35,0.0
167,134.61,0.0
168,134.78,0.0
169,134.17,0.0
170,133.93,0.0
171,133.99,0.0
172,133.33,0.0
173,133.52,0.0
174,133.94,0.0
175,133.28,0.0
176,132.95,0.0
177,132.92,0.0
178,133.59,0.0
179,134.27,0.0
180,134.34,0.0
181,134.95,0.0
182,134.33,0.0
183,133.97,0.0
184,133.0,0.0
185,133.44,0.0
186,134.04,0.0
187,133.9,0.0
188,134.18,0.0
189,134.29,0.0
190,134.63,0.0
191,134.52,0.0
192,135.68,0.0
193,136.11,0.0
194,136.16,0.0
195,137.7,0.0
196,137.0,0.0
197,137.45,0.0
198,138.14,0.0
199,138.36,0.0
200,138.38,0.0
201,138.91,0.0
202,138.89,0.0
203,138.9,0.0
204,139.16,0.0
205,140.34,0.0
206,140.04,0.0
207,139.24,0.0
208,140.09,0.0
209,139.58,0.0
210,138.81,0.0
211,139.55,0.0
212,139.51,0.0
213,139.19,0.0
214,138.58,0.0
215,138.25,0.0
216,139.19,0.0
217,139.37,0.0
218,139.33,0.0
219,138.3,0.0
220,138.38,0.0
221,138.82,0.0
222,138.88,0.0
223,139.46,0.0
224,138.59,0.0
225,138.11,0.0
226,138.92,0.0
227,138.86,0.0
228,138.92,0.0
229,138.36,0.0
230,138.1,0.0
231,139.4,0.0
232,139.54,0.0
233,140.7,0.0
